league,team,ws_link,tm_link
Bundesliga 2 (GER),Bochum,/Teams/109/Show/Germany-Bochum,/vfl-bochum/startseite/verein/80
Bundesliga 2 (GER),Magdeburg,/Teams/808/Show/Germany-Magdeburg,/1-fc-magdeburg/startseite/verein/187
Bundesliga 2 (GER),Hamburger SV,/Teams/38/Show/Germany-Hamburger-SV,/hamburger-sv/startseite/verein/41
Bundesliga 2 (GER),Ingolstadt,/Teams/3429/Show/Germany-Ingolstadt,/fc-ingolstadt-04/startseite/verein/4795
Bundesliga 2 (GER),Holstein Kiel,/Teams/1206/Show/Germany-Holstein-Kiel,/holstein-kiel/startseite/verein/269
Bundesliga 2 (GER),Jahn Regensburg,/Teams/1143/Show/Germany-Jahn-Regensburg,/ssv-jahn-regensburg/startseite/verein/109
Bundesliga 2 (GER),Erzgebirge Aue,/Teams/813/Show/Germany-Erzgebirge-Aue,/fc-erzgebirge-aue/startseite/verein/94
Bundesliga 2 (GER),Darmstadt,/Teams/1147/Show/Germany-Darmstadt,/sv-darmstadt-98/startseite/verein/105
Bundesliga 2 (GER),Union Berlin,/Teams/796/Show/Germany-Union-Berlin,/1-fc-union-berlin/startseite/verein/89
Bundesliga 2 (GER),Greuther Fuerth,/Teams/89/Show/Germany-Greuther-Fuerth,/spvgg-greuther-furth/startseite/verein/65
La Liga 2 (SPA),Osasuna,/Teams/131/Show/Spain-Osasuna,/ca-osasuna/startseite/verein/331
La Liga 2 (SPA),Extremadura,/Teams/826/Show/Spain-Extremadura,/extremadura-ud/startseite/verein/29095
La Liga 2 (SPA),Real Zaragoza,/Teams/66/Show/Spain-Real-Zaragoza,/real-saragossa/startseite/verein/142
La Liga 2 (SPA),Deportivo La Coruna,/Teams/59/Show/Spain-Deportivo-La-Coruna,/deportivo-la-coruna/startseite/verein/897
La Liga 2 (SPA),Tenerife,/Teams/822/Show/Spain-Tenerife,/cd-teneriffa/startseite/verein/648
La Liga 2 (SPA),Las Palmas,/Teams/838/Show/Spain-Las-Palmas,/ud-las-palmas/startseite/verein/472
La Liga 2 (SPA),Lugo,/Teams/3873/Show/Spain-Lugo,/cd-lugo/startseite/verein/11000
La Liga 2 (SPA),Mallorca,/Teams/51/Show/Spain-Mallorca,/rcd-mallorca/startseite/verein/237
La Liga 2 (SPA),Sporting Gijon,/Teams/830/Show/Spain-Sporting-Gijon,/sporting-gijon/startseite/verein/2448
La Liga 2 (SPA),Reus,/Teams/5008/Show/Spain-Reus,/fc-reus-deportiu/startseite/verein/13225
La Liga 2 (SPA),Elche,/Teams/833/Show/Spain-Elche,/fc-elche/startseite/verein/1531
La Liga 2 (SPA),Rayo Majadahonda,/Teams/8293/Show/Spain-Rayo-Majadahonda,/cf-rayo-majadahonda/startseite/verein/13702
La Liga 2 (SPA),Albacete,/Teams/821/Show/Spain-Albacete,/albacete-balompie/startseite/verein/1532
La Liga 2 (SPA),Numancia,/Teams/57/Show/Spain-Numancia,/cd-numancia/startseite/verein/2296
La Liga 2 (SPA),Real Oviedo,/Teams/61/Show/Spain-Real-Oviedo,/real-oviedo/startseite/verein/2497
La Liga 2 (SPA),Granada,/Teams/925/Show/Spain-Granada,/fc-granada/startseite/verein/16795
Super League (CHI),Wuhan Zall,/Teams/9080/Show/China-Wuhan-Zall,/wuhan-zall-professional-f-c/startseite/verein/6450
Super League (CHI),Tianjin Teda,/Teams/2532/Show/China-Tianjin-Teda,/tianjin-teda/startseite/verein/3187
Super League (CHI),Shanghai SIPG FC,/Teams/9081/Show/China-Shanghai-SIPG-FC,/shanghai-east-asia/startseite/verein/27190
Super League (CHI),Guangzhou Evergrande,/Teams/4673/Show/China-Guangzhou-Evergrande,/guangzhou-evergrande-f-c-/startseite/verein/10948
Super League (CHI),Beijing Guoan,/Teams/2540/Show/China-Beijing-Guoan,/beijing-guoan/startseite/verein/3176
Super League (CHI),Shandong Luneng,/Teams/2531/Show/China-Shandong-Luneng,/shandong-luneng-taishan-f-c-/startseite/verein/3182
Super League (CHI),Hebei CFFC,/Teams/15181/Show/China-Hebei-CFFC,/hebei-zhongji/startseite/verein/36630
Super League (CHI),Beijing Renhe,/Teams/2537/Show/China-Beijing-Renhe,/guizhou-renhe-f-c-/startseite/verein/17250
Super League (CHI),Henan Jianye,/Teams/4152/Show/China-Henan-Jianye,/henan-jianye/startseite/verein/9982
