player,lastname,team,link_tm,link_ws
Artur Boruc,Boruc,Bournemouth,/artur-boruc/profil/spieler/15220,/Players/14111/Show/Artur-Boruc
Chris Mepham,Mepham,Bournemouth,/chris-mepham/profil/spieler/480987,/Players/342842/Show/Chris-Mepham
Emerson Hyndman,Hyndman,Bournemouth,/emerson-hyndman/profil/spieler/223047,/Players/231119/Show/Emerson-Hyndman
Lys Mousset,Mousset,Bournemouth,/lys-mousset/profil/spieler/291422,/Players/296332/Show/Lys-Mousset
Sam Surridge,Surridge,Bournemouth,/sam-surridge/profil/spieler/398402,/Players/296870/Show/Sam-Surridge
Callum Wilson,Wilson,Bournemouth,/callum-wilson/profil/spieler/123682,/Players/134115/Show/Callum-Wilson
Joshua King,King,Bournemouth,/joshua-king/profil/spieler/91059,/Players/81026/Show/Joshua-King
Ryan Fraser,Fraser,Bournemouth,/ryan-fraser/profil/spieler/146795,/Players/93160/Show/Ryan-Fraser
David Brooks,Brooks,Bournemouth,/david-brooks/profil/spieler/277033,/Players/295084/Show/David-Brooks
Nathan Aké,Aké,Bournemouth,/nathan-ake/profil/spieler/177476,/Players/122945/Show/Nathan-Aké
Guilherme,Guilherme,Lokomotiv Moscow,/guilherme/profil/spieler/55369,/Players/58610/Show/Guilherme
Solomon Kvirkvelia,Kvirkvelia,Lokomotiv Moscow,/solomon-kvirkvelia/profil/spieler/157391,/Players/102399/Show/Solomon-Kvirkvelia
Benedikt Höwedes,Höwedes,Lokomotiv Moscow,/benedikt-howedes/profil/spieler/39020,/Players/24814/Show/Benedikt-Höwedes
Maciej Rybus,Rybus,Lokomotiv Moscow,/maciej-rybus/profil/spieler/59597,/Players/33661/Show/Maciej-Rybus
Vladislav Ignatjev,Ignatjev,Lokomotiv Moscow,/vladislav-ignatjev/profil/spieler/51897,/Players/31299/Show/Vladislav-Ignatjev
Boris Rotenberg,Rotenberg,Lokomotiv Moscow,/boris-rotenberg/profil/spieler/54310,/Players/39128/Show/Boris-Rotenberg
Grzegorz Krychowiak,Krychowiak,Lokomotiv Moscow,/grzegorz-krychowiak/profil/spieler/45184,/Players/67424/Show/Grzegorz-Krychowiak
Dimitri Barinov,Barinov,Lokomotiv Moscow,/dmitri-barinov/profil/spieler/263905,/Players/278156/Show/Dimitri-Barinov
Dmitriy Tarasov,Tarasov,Lokomotiv Moscow,/dmitri-tarasov/profil/spieler/48560,/Players/27932/Show/Dmitriy-Tarasov
