link,nationality,minutes,agent
/nolan-mbemba/profil/spieler/276768,France,0,No agent
/frank-acheampong/profil/spieler/157160,Ghana,1330,LionShare
/sebastian-palacios/profil/spieler/262861,Argentina,0,Monte Areo Sports
/tono/profil/spieler/125931,Spain,0,Promoesport
/boubacar-kamara/profil/spieler/394327,France,180,Samii ...
/felix-eboa-eboa/profil/spieler/296359,Cameroon,44,Relatives
/molla-wague/profil/spieler/129893,Mali,2380,Base Soccer Agency ...
/eric-dier/profil/spieler/175722,England,2667,Sbsfoot
/tate-schmitt/profil/spieler/637658,United States,0,Octagon
/robert-leipertz/profil/spieler/119120,Germany,0,SEG
/stiven-mendoza/profil/spieler/131101,Colombia,0,ISMA
/arturo-mina/profil/spieler/263628,Ecuador,1488,Bucket Group
/andre-claro/profil/spieler/86804,Portugal,0,Super Stadium
/lucas-tousart/profil/spieler/353948,France,1292,Sigma Foot
/josue/profil/spieler/72772,Portugal,126,Proeleven Gestão ...
/alejandro-pozuelo/profil/spieler/188853,Spain,0,Promoesport
/sergio-floccari/profil/spieler/30638,Italy,0,Vigo Global Sport ...
/ionut-radu/profil/spieler/303657,Romania,0,Oscar Damiani
/abdou-traore/profil/spieler/42941,Burkina Faso,2338,Foot & Ball
/marc-andre-ter-stegen/profil/spieler/74857,Germany,1719,Coaches & More GmbH
/damian-batallini/profil/spieler/421998,Argentina,0,No agent
/alireza-jahanbakhsh/profil/spieler/213268,Iran,2428,AFFG/Wasserman
/ademola-lookman/profil/spieler/406040,England,631,Elite Project Group ...
/rajko-rotman/profil/spieler/100303,Slovenia,895,Rabona Sports
/michael-murillo/profil/spieler/354482,Panama,2473,Futbol Consultants ...
/platiny/profil/spieler/248901,Brazil,0,PromoSport
/kekuta-manneh/profil/spieler/253053,United States,0,WMG
/said-benrahma/profil/spieler/290532,Algeria,96,W.Egal O.S.F.M.
/daryl-murphy/profil/spieler/31312,Ireland,0,No agent
/anwar-el-ghazi/profil/spieler/183720,Netherlands,159,Gestifute
/mickey-van-der-hart/profil/spieler/207048,,0,No agent
/jordan-morris/profil/spieler/337807,United States,1068,James Grant Sports ...
/clinton-njie/profil/spieler/241119,Cameroon,1604,not clarified
/santi-comesana/profil/spieler/380598,Spain,0,F.J.VILLAVERDE
/onur-ayik/profil/spieler/52006,Turkey,0,Relatives
/rodrigo-battaglia/profil/spieler/89297,Argentina,180,not clarified
/ih-yeong-park/profil/spieler/307397,"Korea, South",0,Sports United GmbH
/welinton/profil/spieler/95152,Brazil,0,Marcio Bittencourt ...
/antonio-mirante/profil/spieler/22141,Italy,0,GG11 s.r.l.
/dominic-samuel/profil/spieler/203784,England,120,Base Soccer Agency ...
/dogukan-sinik/profil/spieler/370833,Turkey,122,Life Football
/mikhail-ignatov/profil/spieler/419672,,0,No agent
/orel-mangala/profil/spieler/289592,Belgium,0,M-Soccermanagement
/nils-butzen/profil/spieler/151105,Germany,0,Stars & Friends
/steffen-schafer/profil/spieler/119291,Germany,0,No agent
/luca-sangalli/profil/spieler/289286,Spain,0,No agent
/tommy-elphick/profil/spieler/37152,England,0,Volenti
/salvatore-sirigu/profil/spieler/25508,Italy,1552,Carlo Pallavicino
/ander-capa/profil/spieler/197545,Spain,0,No agent
/pablo-valcarce/profil/spieler/365313,Spain,0,Sports and ...
/georgi-zotov/profil/spieler/113235,Russia,0,Relatives
/christian-fernandez/profil/spieler/48294,Spain,0,Football Promotions ...
/djordje-mihailovic/profil/spieler/484756,United States,125,No agent
