current_value,highest_value,outfitter,last_team,prev_team,prev_prev_team,link
£585k,£585k,None,CD La Equidad,CA Talleres,CD La Equidad,/diego-valoyes/profil/spieler/413983
£270k,£900k,None,Akhisar Belediye,Partizan,OFK Beograd,/milan-lukac/profil/spieler/47024
£720k,£720k,None,SC Paderborn,Energie Cottbus,M'gladbach II,/sven-michel/profil/spieler/186988
£900k,£900k,None,Holstein Kiel,Hoffenheim II,Karlsruhe II,/jannik-dehm/profil/spieler/211671
£13.50m,£18.90m,None,Liverpool,Man City,Aston Villa,/james-milner/profil/spieler/3333
£1.80m,£10.35m,None,Genoa,Genoa,Dynamo Kyiv,/miguel-veloso/profil/spieler/43848
£4.50m,£10.80m,None,Torino,Inter,Torino,/cristian-ansaldi/profil/spieler/55854
£675k,£675k,None,Godoy Cruz,Godoy Cruz II,Godoy Cruz U20,/fabian-henriquez/profil/spieler/400611
£3.60m,£3.60m,None,Alavés,Espanyol,RCD Espanyol B,/ruben-duarte/profil/spieler/177046
£270k,£1.08m,None,Taawon,Desportivo Aves,Moreirense,/nildo-petrolina/profil/spieler/158427
£1.35m,£3.60m,None,Rayo Vallecano,Atlético Madrid,Rayo Vallecano,/emiliano-velazquez/profil/spieler/189458
£450k,£900k,None,Sheffield Utd.,Blackpool,Bolton,/chris-basham/profil/spieler/52495
£1.08m,£1.08m,None,Rostov,Lech Poznan,Korona Kielce,/maciej-wilusz/profil/spieler/42109
£15.75m,£18.00m,None,Villarreal,Espanyol,Villarreal,/gerard-moreno/profil/spieler/177467
£630k,£900k,None,Defensa,Lanús,Defensa,/ciro-rius/profil/spieler/101875
£90k,£900k,None,Krasnodar,Kuban Krasnodar,Krasnodar,/nikolay-markov/profil/spieler/89088
£1.80m,£1.80m,None,Spartak Moscow,Arsenal Tula,Spartak Moscow,/zelimkhan-bakaev/profil/spieler/279242
£4.50m,£4.50m,None,Fulham,OGC Nice,AC Le Havre,/maxime-le-marchand/profil/spieler/60558
£2.70m,£7.20m,None,Alavés,Celta de Vigo,Alavés,/john-guidetti/profil/spieler/98596
0,0,None,Stuttgart U19,Hoffenheim U17,Hoffenheim Jgd.,/antonis-aidonis/profil/spieler/405674
0,0,None,No_team,No_team,No_team,/assil-jaziri/profil/spieler/633398
£2.70m,£7.20m,None,Loko Moscow,Atlético-PR,PSTC,/guilherme/profil/spieler/55369
£1.80m,£1.80m,None,F. Düsseldorf,FC Ingolstadt,Hertha BSC,/alfredo-morales/profil/spieler/58500
£450k,£540k,None,Desportivo Aves,Aves B,Independente-SP,/claudio-falcao/profil/spieler/437566
£23k,£180k,None,Inter Baku,Santa Clara,Santa Clara,/accioly/profil/spieler/56054
£31.50m,£31.50m,None,Valencia,Valencia B,Valencia U19,/carlos-soler/profil/spieler/372246
£630k,£1.80m,None,Extremadura,Pyramids FC,Roda JC,/dani-schahin/profil/spieler/58437
£360k,£720k,None,Real Zaragoza,Reus Deportiu,Real Oviedo,/miguel-linares/profil/spieler/95504
£315k,£315k,None,Dinamo M II,Dinamo 2,Akademia Dinamo,/danil-lipovoy/profil/spieler/462988
£225k,£2.25m,None,Greuther Fürth,FC Augsburg,1.FC Nuremberg,/shawn-parker/profil/spieler/89659
£810k,£4.50m,None,Granada CF,SD Huesca,Real Betis,/alvaro-vadillo/profil/spieler/162074
£3.60m,£4.05m,None,Fulham,West Brom,Fulham,/stefan-johansen/profil/spieler/62008
£9.00m,£19.80m,None,Athletic,Bilbao Athletic,Bilbao U19,/iker-muniain/profil/spieler/54235
£810k,£900k,None,SV Darmstadt 98,SC Paderborn,VfL Osnabrück,/daniel-heuer-fernandes/profil/spieler/84993
£3.60m,£4.95m,None,Crystal Palace,Huddersfield,Crystal Palace,/jason-puncheon/profil/spieler/47995
£225k,£225k,None,Swansea,Coventry,Cheltenham Town,/cian-harries/profil/spieler/319300
0,0,None,Spurs,Tottenham U23,Tottenham U18,/oliver-skipp/profil/spieler/406638
£180.00m,£180.00m,None,Paris SG,Monaco,Paris SG,/kylian-mbappe/profil/spieler/342229
£7.20m,£7.20m,None,West Ham,Fiorentina,West Ham,/edimilson-fernandes/profil/spieler/247555
£900k,£900k,None,Wolves,Aston Villa,Wolves,/kortney-hause/profil/spieler/233124
£270k,£1.26m,None,Santa Clara,Paços Ferreira,Santa Clara,/minhoca/profil/spieler/194177
£315k,£315k,None,FC Emmen,HHC Hardenberg,Go Ahead Eagles,/gersom-klok/profil/spieler/56325
£1.13m,£2.70m,None,Alanyaspor,PAOK Salonika,Monaco,/georgios-tzavellas/profil/spieler/42942
£2.70m,£3.15m,None,Celta de Vigo,FC Barcelona B,Celta de Vigo,/david-costas/profil/spieler/276111
£270k,£405k,None,NY Red Bulls,Philadelphia,Bethlehem Steel,/marcus-epps/profil/spieler/482646
£5.40m,£8.10m,None,SIPG,Krasnodar,Anzhi,/odil-akhmedov/profil/spieler/63606
£113k,£1.98m,None,CA Talleres,Club Tijuana,Jaguares,/javier-gandolfi/profil/spieler/26242
£1.13m,£1.13m,None,Kansas,Swope Park,Kansas,/daniel-salloi/profil/spieler/321946
£675k,£675k,None,Wigan,Oxford United,Kidderminster,/chey-dunkley/profil/spieler/217094
£9.00m,£9.00m,None,FC Augsburg,E. Frankfurt,FC Augsburg,/martin-hinteregger/profil/spieler/85789
0,0,None,Salt Lake,UCLA Bruins,Golden State,/erik-holt/profil/spieler/510344
£900k,£900k,None,SV Sandhausen,M'gladbach II,Saarbrücken,/tim-knipping/profil/spieler/185520
£5.40m,£9.00m,None,Real Betis,Celta de Vigo,Real Betis,/ryad-boudebouz/profil/spieler/77826
£19.80m,£36.00m,None,DL Yifang,SSC Napoli,Brescia,/marek-hamsik/profil/spieler/38593
£270k,£270k,None,Desportivo Aves,Aves U23,Desportivo Aves,/luquinhas/profil/spieler/402825
£2.25m,£21.60m,None,Zenit S-Pb,Chelsea,Loko Moscow,/branislav-ivanovic/profil/spieler/36827
£360k,£360k,None,Erzgebirge Aue,Schalke 04 U19,Schalke 04 U17,/florian-kruger/profil/spieler/317740
£1.35m,£1.35m,None,Spurs,Swansea,Spurs,/cameron-carter-vickers/profil/spieler/341049
0,0,None,Derby U23,QPR U23,Derby U18,/lewis-walker/profil/spieler/430801
£16.20m,£18.00m,None,Wolves,Sporting CP,Sporting U19,/rui-patricio/profil/spieler/45026
£180k,£180k,None,Anzhi 2,Anzhi,Anzhi II,/magomed-elmurzaev/profil/spieler/450282
£3.15m,£3.15m,None,CA Banfield,Banfield II,Banfield U20,/ivan-arboleda/profil/spieler/260740
£360k,£360k,None,Real Zaragoza,Dep. Aragón,Villanovense,/alvaro-raton/profil/spieler/248551
£1.80m,£2.70m,None,Dijon,FC Lorient,CS Sedan,/wesley-lautoa/profil/spieler/154199
£2.25m,£2.70m,None,Benfica,Nottm Forest,Benfica,/diogo-goncalves/profil/spieler/258015
£7.20m,£8.10m,None,Torino,Juventus,Torino,/tomas-rincon/profil/spieler/75942
£9.00m,£9.00m,None,Villarreal,Villarreal CF B,Villarreal U19,/samuel-chukwueze/profil/spieler/401922
£720k,£720k,None,Parma,Virtus Entella,Südtirol,/simone-iacoponi/profil/spieler/59699
