link,search,results
/alex-ferrari/profil/spieler/197491,Alex+Ferrari+Sampdoria,424000
/marwin-reuvers/profil/spieler/470910,Marwin+Reuvers+NAC+Breda,45000
/ayo-akinola/profil/spieler/370979,Ayo+Akinola+Toronto+FC,35800
/alessandro-murgia/profil/spieler/289061,Alessandro+Murgia+SPAL+2013,76800
/daniel-didavi/profil/spieler/57995,Daniel+Didavi+VfB+Stuttgart,185000
/andrey-lunev/profil/spieler/112541,Andrey+Lunev+Zenit+St.+Petersburg,34100
/ilkay-gundogan/profil/spieler/53622,Ilkay+Gündogan+ManCity,2520000
/dani-parejo/profil/spieler/59561,Daniel+Parejo+Valencia,1960000
/sandro-wagner/profil/spieler/39743,Sandro+Wagner+Tianjin+Teda,41800
/nikola-vlasic/profil/spieler/293200,Nikola+Vlasic+CSKA+Moscow,100000
/svante-ingelsson/profil/spieler/321079,Svante+Ingelsson+Udinese,87900
/yannick-stark/profil/spieler/49737,Yannick+Stark+Darmstadt,0
/pablo-mari/profil/spieler/210178,Pablo+Marí+Deportivo+La+Coruna,692000
/rui-silva/profil/spieler/234811,Rui+Silva+Granada,1460000
/gedion-zelalem/profil/spieler/228370,Gedion+Zelalem+Sporting+Kansas+City,22000
/thijmen-goppel/profil/spieler/342240,Thijmen+Goppel+ADO+Den+Haag,34200
/nolan-mbemba/profil/spieler/276768,Nolan+Mbemba+Reims,32100
/frank-acheampong/profil/spieler/157160,Frank+Acheampong+Tianjin+Teda,204000
/sebastian-palacios/profil/spieler/262861,Sebastián+Palacios+Talleres,6170000
/tono/profil/spieler/125931,Toño+Levante,436000
/boubacar-kamara/profil/spieler/394327,Boubacar+Kamara+Marseille,253000
/felix-eboa-eboa/profil/spieler/296359,Félix+Eboa+Eboa+Guingamp,71500
/molla-wague/profil/spieler/129893,Molla+Wagué+Nottingham+Forest,34000
/eric-dier/profil/spieler/175722,Eric+Dier+Tottenham,2390000
/tate-schmitt/profil/spieler/637658,Tate+Schmitt+Real+Salt+Lake,283000
/robert-leipertz/profil/spieler/119120,Robert+Leipertz+FC+Heidenheim,58600
/stiven-mendoza/profil/spieler/131101,John+Stiven+Mendoza+Amiens,145000
/arturo-mina/profil/spieler/263628,Arturo+Mina+Yeni+Malatyaspor,180000
/andre-claro/profil/spieler/86804,André+Claro+Boavista,9290000
/lucas-tousart/profil/spieler/353948,Lucas+Tousart+Lyon,219000
/josue/profil/spieler/72772,Josué+Akhisarspor,103000
/alejandro-pozuelo/profil/spieler/188853,Alejandro+Pozuelo+Toronto+FC,171000
/sergio-floccari/profil/spieler/30638,Sergio+Floccari+SPAL+2013,51000
/ionut-radu/profil/spieler/303657,Ionut+Radu+Genoa,111000
/abdou-traore/profil/spieler/42941,Abdou+Traoré+Konyaspor,77100
/marc-andre-ter-stegen/profil/spieler/74857,Marc-André+ter+Stegen+Barcelona,1030000
/damian-batallini/profil/spieler/421998,Damián+Batallini+Argentinos+Juniors,64300
/alireza-jahanbakhsh/profil/spieler/213268,Alireza+Jahanbakhsh+Brighton,128000
/ademola-lookman/profil/spieler/406040,Ademola+Lookman+Everton,283000
