name,position,height,weight,team,pos_def,pref_side,sides
Luquinhas,Attacking Midfielder (Left),169.0,60.0,Aves,Midfielder,Left,1
Branislav Ivanovic,"Defender (Centre, Right)",185.0,80.0,Zenit St. Petersburg,Defender,Centre,2
Florian Krüger,Forward,186.0,79.0,Erzgebirge Aue,Forward,None,1
Cameron Carter-Vickers,Defender (Centre),183.0,92.0,Swansea,Defender,Centre,1
Lewis Walker,Forward,183.0,76.0,Queens Park Rangers,Forward,None,1
Rui Patrício,Goalkeeper,190.0,84.0,Wolverhampton Wanderers,Goalkeeper,None,1
Magomed Elmurzaev,Defender,175.0,72.0,Anzhi Makhachkala,Defender,None,1
Mauricio Arboleda,Goalkeeper,181.0,78.0,Banfield,Goalkeeper,None,1
Álvaro Ratón,Goalkeeper,192.0,84.0,Real Zaragoza,Goalkeeper,None,1
Wesley Lautoa,Defender (Centre),182.0,87.0,Dijon,Defender,Centre,1
Diogo Gonçalves,Attacking Midfielder (Left),176.0,66.0,Nottingham Forest,Midfielder,Left,1
Tomás Rincón,"Midfielder (Centre, Right)",177.0,76.0,Torino,Midfielder,Centre,2
Samuel Chukwueze,"Attacking Midfielder (Centre, Right)",172.0,70.0,Villarreal,Midfielder,Centre,2
Simone Iacoponi,"Defender (Centre, Right)",180.0,73.0,Parma Calcio 1913,Defender,Centre,2
Oliver Sorg,"Defender (Centre, Left, Right)",175.0,69.0,Hannover 96,Defender,Centre,3
Marcos Acuña,Defender (Left),172.0,69.0,Sporting CP,Defender,Left,1
Bruno Xadas,Attacking Midfielder (Right),179.0,69.0,Braga,Midfielder,Right,1
Nicola Dalmonte,Forward,168.0,62.0,Genoa,Forward,None,1
Lennart Thy,Forward,184.0,78.0,PEC Zwolle,Forward,None,1
Juan Andrada,Defensive Midfielder (C),183.0,77.0,Godoy Cruz,Defensive Midfielder,None,1
Jan Morávek,Midfielder (Centre),180.0,77.0,Augsburg,Midfielder,Centre,1
Nicolás Domingo,Defensive Midfielder (C),174.0,70.0,Independiente,Defensive Midfielder,None,1
Kevin Kampl,"Midfielder (Centre, Left, Right)",178.0,67.0,RasenBallsport Leipzig,Midfielder,Centre,3
Kofi Opare,Defender (Centre),188.0,87.0,Colorado Rapids,Defender,Centre,1
Mitchell Dijks,Defender (Left),194.0,93.0,Bologna,Defender,Left,1
Gotoku Sakai,"Defender (Left, Right)",176.0,74.0,Hamburger SV,Defender,Left,2
Vlad Chiriches,"Defender (Centre, Right)",184.0,75.0,Napoli,Defender,Centre,2
Artur Nigmatullin,Goalkeeper,192.0,88.0,Arsenal Tula,Goalkeeper,None,1
Romain Thomas,Defender (Centre),193.0,84.0,Angers,Defender,Centre,1
Derrick Luckassen,"Defender (Centre, Right)",186.0,78.0,Hertha Berlin,Defender,Centre,2
Óscar Trejo,"Midfielder (Centre, Left, Right)",180.0,79.0,Rayo Vallecano,Midfielder,Centre,3
Dominik Reimann,Goalkeeper,185.0,80.0,Holstein Kiel,Goalkeeper,None,1
Moataz Zemzemi,Midfielder,183.0,73.0,Strasbourg,Midfielder,None,1
Nils Röseler,Defender (Centre),190.0,70.0,VVV-Venlo,Defender,Centre,1
Tomer Hemed,Forward,186.0,80.0,Queens Park Rangers,Forward,None,1
Olivier Boscagli,"Defender (Centre, Left)",181.0,68.0,Nice,Defender,Centre,2
Tristan Dekker,Defender (Right),184.0,78.0,VVV-Venlo,Defender,Right,1
Jan Kral,Defender,194.0,72.9825,Erzgebirge Aue,Defender,None,1
Jovane Cabral,Attacking Midfielder (Left),176.0,71.0,Sporting CP,Midfielder,Left,1
Alex Ferrari,"Defender (Centre, Right)",183.0,70.0,Sampdoria,Defender,Centre,2
,,176.82833333333335,72.9825,NAC Breda,,None,1
Ayo Akinola,Forward,177.0,83.0,Toronto FC,Forward,None,1
Alessandro Murgia,Midfielder (Centre),185.0,78.0,SPAL 2013,Midfielder,Centre,1
Daniel Didavi,"Attacking Midfielder (Centre, Right)",180.0,77.0,VfB Stuttgart,Midfielder,Centre,2
Andrey Lunev,Goalkeeper,189.0,80.0,Zenit St. Petersburg,Goalkeeper,None,1
Ilkay Gündogan,Midfielder (Centre),180.0,79.0,ManCity,Midfielder,Centre,1
Daniel Parejo,Midfielder (Centre),182.0,74.0,Valencia,Midfielder,Centre,1
Sandro Wagner,Forward,194.0,92.0,Tianjin Teda,Forward,None,1
Nikola Vlasic,"Attacking Midfielder (Centre, Right)",178.0,72.0,CSKA Moscow,Midfielder,Centre,2
Svante Ingelsson,Attacking Midfielder (Right),189.0,83.0,Udinese,Midfielder,Right,1
Yannick Stark,Defensive Midfielder (C),185.0,81.0,Darmstadt,Defensive Midfielder,None,1
Pablo Marí,Defender (Centre),193.0,87.0,Deportivo La Coruna,Defender,Centre,1
Rui Silva,Goalkeeper,191.0,91.0,Granada,Goalkeeper,None,1
Gedion Zelalem,Midfielder,180.0,70.0,Sporting Kansas City,Midfielder,None,1
Thijmen Goppel,Midfielder (Right),178.0,73.0,ADO Den Haag,Midfielder,Right,1
Nolan Mbemba,Midfielder,181.0,75.0,Reims,Midfielder,None,1
Frank Acheampong,Defender (Left),168.0,73.0,Tianjin Teda,Defender,Left,1
Sebastián Palacios,"Attacking Midfielder (Left, Right)",169.0,69.0,Talleres,Midfielder,Left,2
