current_value,highest_value,last_team,prev_team,prev_prev_team,link,value_loss,current_log,double_trans
1580000,1580000,Atlanta United,CA Banfield,Banfield II,/eric-remedi/profil/spieler/362364,0,14.27293540500315,2.658365114959758
720000,720000,Quakes,Honvéd,Chepo FC,/anibal-godoy/profil/spieler/161671,0,13.487006490992238,2.601726739812297
1800000,8100000,Fenerbahce,Eskisehirspor,Eskisehir II,/alper-potuk/profil/spieler/99186,-6300000,14.403297222866392,2.667457154181619
405000,405000,Chicago Fire,Columbus Crew,Cincinnati,/christian-martinez/profil/spieler/419247,0,12.911642346088676,2.5581294118013846
900000,900000,Arsenal Tula,Arsenal 2 Tula,S. Peshelan,/mikhail-levashov/profil/spieler/148028,0,13.710150042306449,2.6181364375191847
540000,1350000,CA Rosario,Racing Club,CA Rosario,/washington-camacho/profil/spieler/76490,-810000,13.199324418540456,2.580165647868961
2700000,2700000,RB Leipzig,BSC Young Boys,BSC YB U18,/yvon-mvogo/profil/spieler/147051,0,14.808762330974558,2.6952190549681467
360000,900000,Feirense,Sepahan,Arouca,/rafael-crivellaro/profil/spieler/145692,-540000,12.793859310432293,2.5489653144403843
270000,315000,FSV Zwickau,1.FC Magdeburg,G. Halberstadt,/christopher-handke/profil/spieler/57704,-45000,12.506177237980511,2.5262227012804486
810000,810000,HNK Rijeka,SC Paderborn,HNK Sibenik,/jamilu-collins/profil/spieler/254934,0,13.604789526648622,2.6104219018214327
360000,360000,Hertha BSC,Hertha BSC U19,Hertha BSC U17,/florian-baak/profil/spieler/296345,0,12.793859310432293,2.5489653144403843
90000,405000,DL Yifang,YB Funde,Kitchee,/alex-tayo-akande/profil/spieler/209778,-315000,11.407564949312402,2.4342767273655532
1580000,3150000,Bursaspor,Trabzonspor,Y. Malatyaspor,/aytac-kara/profil/spieler/159908,-1570000,14.27293540500315,2.658365114959758
450000,4950000,Sivasspor,BB Erzurumspor,Osmanlispor,/ozer-hurmaci/profil/spieler/45004,-4500000,13.017002861746503,2.5662564153311536
36000000,40500000,FC Barcelona,G. Bordeaux,Corinthians,/malcom/profil/spieler/323704,-4500000,17.399029496420383,2.8564144285971467
900000,1800000,Bournemouth,Sounders FC,Bournemouth,/brad-smith/profil/spieler/175745,-900000,13.710150042306449,2.6181364375191847
360000,540000,Sounders FC,Tacoma Defiance,Sounders FC,/saad-abdul-salaam/profil/spieler/270532,-180000,12.793859310432293,2.5489653144403843
1350000,1980000,Fulham,Standard Liège,KV Mechelen,/ibrahima-cisse/profil/spieler/160380,-630000,14.115615150414612,2.647281642081681
270000,270000,Wigan,Leyton Orient,Colchester Utd.,/gavin-massey/profil/spieler/148258,0,12.506177237980511,2.5262227012804486
12600000,12600000,RB Leipzig,RB Salzburg,FC Liefering,/konrad-laimer/profil/spieler/223967,0,16.349207371921707,2.7941794173865815
720000,900000,Krasnodar,Enisey,Krasnodar,/aleksey-gritsaenko/profil/spieler/379634,-180000,13.487006490992238,2.601726739812297
450000,450000,Krasnodar 2,Krasnodar II,Akad. Krasnodar,/artem-golubev/profil/spieler/375663,0,13.017002861746503,2.5662564153311536
675000,675000,Colorado,Wolves,Leyton Orient,/jack-price/profil/spieler/129062,0,13.422467969854667,2.5969300170092384
450000,720000,Rotherham,Accrington,Rotherham,/michael-ihiekwe/profil/spieler/145923,-270000,13.017002861746503,2.5662564153311536
1800000,1800000,Heracles Almelo,Villarreal CF B,RCD Espanyol B,/adrian-dalmau/profil/spieler/288228,0,14.403297222866392,2.667457154181619
22500000,22500000,Inter,Fiorentina,FC Empoli,/matias-vecino/profil/spieler/143812,0,16.929025867174648,2.829029655634018
9000000,9000000,Levante,Újpest FC,Prespa Birlik,/enis-bardhi/profil/spieler/245014,0,16.012735135300492,2.773384351599064
180000,2700000,Real Zaragoza,Rayo Vallecano,Villarreal,/chechu-dorado/profil/spieler/70898,-2520000,12.100712129872347,2.493264304579342
9000000,10800000,Real Sociedad,Newcastle,Bor. Dortmund,/mikel-merino/profil/spieler/338424,-1800000,16.012735135300492,2.773384351599064
450000,720000,SV Darmstadt 98,VfL Bochum,Greuther Fürth,/johannes-wurtz/profil/spieler/93926,-270000,13.017002861746503,2.5662564153311536
3150000,3150000,Boca Juniors,Deportes Tolima,Tolima U20,/sebastian-villa/profil/spieler/493000,0,14.962913010801817,2.705574673564241
90000,900000,MSV Duisburg,SC Paderborn,White Star,/michael-ratajczak/profil/spieler/1257,-810000,11.407564949312402,2.4342767273655532
540000,2250000,Alanyaspor,Antalyaspor,Samsunspor,/mbilla-etame/profil/spieler/78798,-1710000,13.199324418540456,2.580165647868961
1800000,1800000,Bolton,Notts County,Bolton,/josh-vela/profil/spieler/173804,0,14.403297222866392,2.667457154181619
2700000,3600000,Loko Moscow,Kuban Krasnodar,Krasnodar,/vladislav-ignatjev/profil/spieler/51897,-900000,14.808762330974558,2.6952190549681467
2250000,2250000,BJ Renhe,Shabab Dubai,Al-Ahli (UAE),/makhete-diop/profil/spieler/124757,0,14.626440774180603,2.6828309027395756
180000,495000,Aldosivi,Villa Dálmine,CA Temperley,/leandro-sapetti/profil/spieler/149486,-315000,12.100712129872347,2.493264304579342
540000,1350000,Konyaspor,Basaksehir,Orduspor,/ferhat-oztorun/profil/spieler/37839,-810000,13.199324418540456,2.580165647868961
22500000,22500000,Valencia,Celta de Vigo,Celta Vigo B,/santi-mina/profil/spieler/255653,0,16.929025867174648,2.829029655634018
1800000,1800000,Feyenoord,NEC Nijmegen,Feyenoord,/calvin-verdonk/profil/spieler/258364,0,14.403297222866392,2.667457154181619
450000,720000,Minnesota Utd.,Oregon State,No_team,/hassani-dotson/profil/spieler/636081,-270000,13.017002861746503,2.5662564153311536
900000,900000,FC Groningen,Heracles Almelo,FC Twente U19,/mike-te-wierik/profil/spieler/155806,0,13.710150042306449,2.6181364375191847
